step,tokens,loss,lr,tok_per_s,elapsed_s
25,409600,5.8276,8.808e-04,222653,1.8
50,819200,5.6383,5.573e-04,260236,3.4
75,1228800,5.6564,2.292e-04,262400,5.0
98,1605632,5.6727,1.002e-04,282267,6.4
