step,tokens,loss,lr,tok_per_s,elapsed_s
25,409600,5.7016,8.808e-04,222232,1.8
50,819200,5.6619,5.573e-04,265511,3.4
75,1228800,5.6546,2.292e-04,260524,5.0
98,1605632,5.6723,1.002e-04,288773,6.4
