step,tokens,loss,lr,tok_per_s,elapsed_s
25,409600,5.7792,8.808e-04,203223,2.0
50,819200,5.4742,5.573e-04,202656,4.0
75,1228800,5.2569,2.292e-04,201113,6.1
98,1605632,5.2378,1.002e-04,222320,7.9
