step,tokens,loss,lr,tok_per_s,elapsed_s
25,409600,5.9019,8.808e-04,187675,2.2
50,819200,5.6575,5.573e-04,213236,4.1
75,1228800,5.6590,2.292e-04,211758,6.0
98,1605632,5.6877,1.002e-04,228799,7.8
