step,tokens,loss,lr,tok_per_s,elapsed_s
25,409600,5.5919,9.920e-04,142110,2.9
50,819200,4.7180,9.551e-04,155879,5.5
75,1228800,4.2714,8.906e-04,155860,8.1
100,1638400,4.0725,8.029e-04,152736,10.8
125,2048000,4.0030,6.980e-04,156469,13.4
150,2457600,3.8827,5.830e-04,153867,16.1
175,2867200,3.8312,4.657e-04,155286,18.7
200,3276800,3.6851,3.541e-04,154467,21.4
225,3686400,3.7405,2.560e-04,156008,24.0
250,4096000,3.6273,1.778e-04,154896,26.7
275,4505600,3.4848,1.250e-04,156012,29.3
300,4915200,3.5683,1.012e-04,156459,31.9
306,5013504,3.5092,1.000e-04,654967,32.5
