step,tokens,loss,lr,tok_per_s,elapsed_s
25,409600,5.7249,9.920e-04,142746,2.9
50,819200,5.6107,9.551e-04,159589,5.4
75,1228800,5.5035,8.906e-04,160337,8.0
100,1638400,4.9987,8.029e-04,159665,10.6
125,2048000,4.7517,6.980e-04,160172,13.1
150,2457600,4.4949,5.830e-04,160095,15.7
175,2867200,4.3294,4.657e-04,159335,18.2
200,3276800,4.2081,3.541e-04,158244,20.8
225,3686400,4.2366,2.560e-04,159837,23.4
250,4096000,4.1380,1.778e-04,159049,26.0
275,4505600,4.0267,1.250e-04,159577,28.5
300,4915200,4.1094,1.012e-04,160687,31.1
306,5013504,4.0728,1.000e-04,652682,31.7
