step,tokens,loss,lr,tok_per_s,elapsed_s
25,409600,5.7751,9.920e-04,173148,2.4
50,819200,5.0375,9.551e-04,195377,4.5
75,1228800,4.4659,8.906e-04,195284,6.6
100,1638400,4.1908,8.029e-04,195273,8.7
125,2048000,4.0800,6.980e-04,195274,10.8
150,2457600,3.9354,5.830e-04,195258,12.9
175,2867200,3.8518,4.657e-04,195270,14.9
200,3276800,3.7087,3.541e-04,195363,17.0
225,3686400,3.7733,2.560e-04,195318,19.1
250,4096000,3.6533,1.778e-04,195390,21.2
275,4505600,3.5065,1.250e-04,195198,23.3
300,4915200,3.5930,1.012e-04,195320,25.4
306,5013504,3.5426,1.000e-04,811797,25.9
