step,tokens,loss,lr,tok_per_s,elapsed_s
10,1310720,6.0588,9.097e-04,189148,6.9
20,2621440,5.7672,6.042e-04,194748,13.7
30,3932160,5.6689,2.654e-04,194907,20.4
40,5242880,5.6799,1.015e-04,196561,27.1
