step,tokens,loss,lr,tok_per_s,elapsed_s
25,9523200,5.6980,1.876e-03,187174,50.9
50,19046400,5.5067,1.479e-03,187632,101.6
75,28569600,5.1130,9.485e-04,188020,152.3
100,38092800,4.8701,4.713e-04,187738,203.0
125,47616000,4.6864,2.168e-04,186510,254.1
132,50282496,4.6443,2.003e-04,660471,268.5
