step,tokens,loss,lr,tok_per_s,elapsed_s
25,6348800,5.6018,1.948e-03,90576,70.1
50,12697600,4.9654,1.762e-03,91194,139.7
75,19046400,4.5627,1.468e-03,92476,208.4
100,25395200,4.3193,1.115e-03,90304,278.7
125,31744000,4.2128,7.590e-04,88281,350.6
150,38092800,4.1137,4.585e-04,87951,422.8
175,44441600,4.0195,2.617e-04,89514,493.7
197,50028544,4.0081,2.001e-04,99887,557.3
