step,tokens,loss,lr,tok_per_s,elapsed_s
25,6348800,5.5950,1.948e-03,156391,40.6
50,12697600,4.9243,1.762e-03,156777,81.1
75,19046400,4.5732,1.468e-03,157285,121.5
100,25395200,4.3097,1.115e-03,157151,161.9
125,31744000,4.1905,7.590e-04,108208,220.5
150,38092800,4.0830,4.585e-04,87994,292.7
175,44441600,3.9941,2.617e-04,87841,365.0
197,50028544,3.9905,2.001e-04,98997,429.1
